epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7024,0.70741,1.75034,0.90486,0.8551,0.49695,0.57277,0.45169,0.74018,0.81718,0.87061,0.000331579,0.000331579,0.000331579
2,77.496,0.68501,0.7108,0.89069,0.79894,0.5934,0.66615,0.51124,0.75801,0.7248,0.85395,0.000656135,0.000656135,0.000656135
3,115.492,0.68347,0.66093,0.89044,0.83654,0.56134,0.63596,0.4888,0.72642,0.70585,0.85459,0.000971892,0.000971892,0.000971892
4,152.87,0.67576,0.61693,0.88372,0.82377,0.61043,0.6845,0.52431,0.7166,0.65568,0.85348,0.0009604,0.0009604,0.0009604
5,190.479,0.66019,0.57254,0.88173,0.83373,0.61344,0.6889,0.53258,0.69363,0.61011,0.8521,0.0009472,0.0009472,0.0009472
6,227.843,0.65491,0.55558,0.88186,0.79469,0.63794,0.70258,0.53756,0.71683,0.59063,0.86235,0.000934,0.000934,0.000934
7,265.164,0.62666,0.51346,0.86857,0.91145,0.61871,0.70398,0.54889,0.68234,0.56558,0.84989,0.0009208,0.0009208,0.0009208
8,302.443,0.61955,0.50212,0.8689,0.87712,0.6167,0.7373,0.57584,0.67658,0.55147,0.83642,0.0009076,0.0009076,0.0009076
9,339.86,0.59278,0.46905,0.85783,0.82948,0.64364,0.72558,0.55495,0.69302,0.57232,0.85013,0.0008944,0.0008944,0.0008944
10,377.304,0.59177,0.46173,0.86079,0.81275,0.63965,0.6956,0.55387,0.65373,0.58556,0.83536,0.0008812,0.0008812,0.0008812
11,414.74,0.58553,0.45532,0.8576,0.77106,0.67494,0.71952,0.56221,0.66336,0.57003,0.83864,0.000868,0.000868,0.000868
12,451.794,0.57189,0.42801,0.84891,0.82065,0.70924,0.76629,0.59676,0.64328,0.51631,0.83436,0.0008548,0.0008548,0.0008548
13,489.31,0.55996,0.42265,0.85004,0.78152,0.72845,0.75568,0.59511,0.62558,0.50458,0.83362,0.0008416,0.0008416,0.0008416
14,526.625,0.56767,0.4261,0.85461,0.92302,0.61362,0.74797,0.58738,0.64426,0.50988,0.83486,0.0008284,0.0008284,0.0008284
15,563.743,0.55292,0.40569,0.84353,0.81913,0.65788,0.7321,0.57693,0.63836,0.54166,0.83457,0.0008152,0.0008152,0.0008152
16,600.674,0.5463,0.39538,0.84437,0.84909,0.64637,0.73831,0.57901,0.65541,0.55939,0.84342,0.000802,0.000802,0.000802
17,637.372,0.53771,0.3875,0.84191,0.85997,0.64482,0.74545,0.59378,0.60725,0.532,0.82427,0.0007888,0.0007888,0.0007888
18,674.234,0.52895,0.38033,0.83865,0.88677,0.68371,0.77959,0.60581,0.63784,0.50217,0.83853,0.0007756,0.0007756,0.0007756
19,711.55,0.53208,0.37929,0.84083,0.83227,0.68135,0.7598,0.59979,0.64246,0.50491,0.84061,0.0007624,0.0007624,0.0007624
20,748.447,0.52738,0.37485,0.83697,0.87381,0.65278,0.77567,0.59595,0.62198,0.49799,0.83275,0.0007492,0.0007492,0.0007492
21,785.889,0.51677,0.36803,0.83349,0.81016,0.68562,0.7542,0.59861,0.62779,0.51326,0.8269,0.000736,0.000736,0.000736
22,822.799,0.52029,0.36539,0.83605,0.77357,0.7269,0.75787,0.6033,0.63012,0.50067,0.8314,0.0007228,0.0007228,0.0007228
23,859.646,0.49434,0.34829,0.83021,0.75818,0.73149,0.76664,0.61264,0.60099,0.53319,0.8236,0.0007096,0.0007096,0.0007096
24,897.265,0.49459,0.34456,0.8284,0.90988,0.65709,0.76927,0.60393,0.61775,0.50043,0.83363,0.0006964,0.0006964,0.0006964
25,934.476,0.49574,0.34106,0.82736,0.84545,0.74815,0.78343,0.62382,0.62315,0.494,0.82587,0.0006832,0.0006832,0.0006832
26,971.871,0.49192,0.34075,0.83234,0.83983,0.67242,0.76725,0.61599,0.60863,0.49285,0.82368,0.00067,0.00067,0.00067
27,1009.05,0.49011,0.3412,0.83151,0.81208,0.71338,0.77104,0.61716,0.60984,0.51945,0.82312,0.0006568,0.0006568,0.0006568
28,1046.98,0.4854,0.33635,0.82718,0.84708,0.71778,0.77461,0.62437,0.6031,0.50535,0.82202,0.0006436,0.0006436,0.0006436
29,1084.37,0.47943,0.32768,0.82811,0.89532,0.72317,0.79627,0.62725,0.60048,0.50923,0.82692,0.0006304,0.0006304,0.0006304
30,1121.68,0.46973,0.32235,0.82603,0.88785,0.70787,0.7855,0.63693,0.60688,0.50552,0.82158,0.0006172,0.0006172,0.0006172
31,1161.18,0.46724,0.31793,0.82213,0.84348,0.73742,0.79318,0.64068,0.60562,0.50623,0.82142,0.000604,0.000604,0.000604
32,1198.59,0.46907,0.31585,0.82259,0.82921,0.73083,0.77134,0.62289,0.61728,0.50037,0.82763,0.0005908,0.0005908,0.0005908
33,1235.89,0.46918,0.31708,0.82291,0.89284,0.68247,0.78013,0.628,0.59859,0.48372,0.82417,0.0005776,0.0005776,0.0005776
34,1272.85,0.45529,0.30714,0.82002,0.89748,0.69026,0.77345,0.61609,0.60405,0.5031,0.82536,0.0005644,0.0005644,0.0005644
35,1309.7,0.45466,0.30928,0.82209,0.88971,0.68018,0.77517,0.62717,0.60819,0.49413,0.8253,0.0005512,0.0005512,0.0005512
36,1346.58,0.44452,0.29918,0.81866,0.91228,0.68971,0.78166,0.63047,0.59542,0.4957,0.82646,0.000538,0.000538,0.000538
37,1383.39,0.44545,0.299,0.81639,0.81288,0.72537,0.78086,0.62451,0.5974,0.50848,0.81911,0.0005248,0.0005248,0.0005248
38,1420.18,0.43795,0.29014,0.81716,0.904,0.68432,0.77098,0.63186,0.5744,0.52406,0.81714,0.0005116,0.0005116,0.0005116
39,1458.03,0.43283,0.29079,0.81725,0.83917,0.72215,0.77419,0.62521,0.59755,0.49093,0.82061,0.0004984,0.0004984,0.0004984
40,1495.19,0.43546,0.29474,0.81651,0.90948,0.70928,0.80669,0.64112,0.59052,0.46744,0.82117,0.0004852,0.0004852,0.0004852
41,1533.24,0.42528,0.28598,0.81613,0.82345,0.74343,0.77962,0.62148,0.59507,0.49186,0.82107,0.000472,0.000472,0.000472
42,1571.41,0.42137,0.28216,0.81234,0.92198,0.68842,0.79613,0.63208,0.59216,0.47785,0.82233,0.0004588,0.0004588,0.0004588
43,1609.77,0.41969,0.27972,0.81401,0.86511,0.7132,0.78544,0.6435,0.58971,0.52478,0.81817,0.0004456,0.0004456,0.0004456
44,1647.38,0.41452,0.27654,0.81507,0.87533,0.72036,0.79579,0.65179,0.58899,0.45933,0.82108,0.0004324,0.0004324,0.0004324
45,1685.11,0.41396,0.27291,0.8127,0.87443,0.71288,0.80341,0.66265,0.57908,0.4878,0.82028,0.0004192,0.0004192,0.0004192
46,1723.23,0.40933,0.27296,0.81326,0.88519,0.75198,0.81005,0.65164,0.58706,0.45628,0.81787,0.000406,0.000406,0.000406
47,1761.26,0.40112,0.26787,0.81364,0.8725,0.73807,0.79092,0.64276,0.57646,0.49749,0.8228,0.0003928,0.0003928,0.0003928
48,1798.25,0.39945,0.26633,0.80965,0.88406,0.71374,0.78321,0.63057,0.58344,0.49558,0.81837,0.0003796,0.0003796,0.0003796
49,1837.09,0.39712,0.26103,0.80579,0.83454,0.73861,0.78611,0.63594,0.57916,0.51145,0.81798,0.0003664,0.0003664,0.0003664
50,1875.26,0.39049,0.26074,0.80995,0.91771,0.73093,0.80478,0.66186,0.57102,0.49464,0.81974,0.0003532,0.0003532,0.0003532
51,1912.5,0.39105,0.26023,0.80608,0.85758,0.75431,0.80473,0.65454,0.58268,0.47996,0.81985,0.00034,0.00034,0.00034
52,1949.33,0.38386,0.25398,0.80751,0.82396,0.736,0.77748,0.6302,0.58362,0.50448,0.81913,0.0003268,0.0003268,0.0003268
53,1986.69,0.37849,0.25402,0.80794,0.89449,0.72283,0.79444,0.64191,0.59115,0.50796,0.8205,0.0003136,0.0003136,0.0003136
54,2023.54,0.38214,0.25328,0.80673,0.9018,0.73043,0.79406,0.64386,0.58755,0.48568,0.8226,0.0003004,0.0003004,0.0003004
55,2060.89,0.37897,0.25044,0.80533,0.81797,0.75883,0.80702,0.65302,0.58599,0.49963,0.82137,0.0002872,0.0002872,0.0002872
56,2098.84,0.37094,0.24675,0.80615,0.90885,0.71127,0.79899,0.64319,0.59312,0.5019,0.82073,0.000274,0.000274,0.000274
57,2136.11,0.36562,0.24482,0.80597,0.85956,0.75973,0.80627,0.64946,0.58144,0.49051,0.81955,0.0002608,0.0002608,0.0002608
58,2174.19,0.35945,0.24225,0.80588,0.90767,0.72388,0.79685,0.64678,0.58539,0.50498,0.82019,0.0002476,0.0002476,0.0002476
59,2211.22,0.36459,0.2409,0.80228,0.93243,0.68505,0.80215,0.65485,0.57517,0.50571,0.8193,0.0002344,0.0002344,0.0002344
60,2248.74,0.35346,0.23645,0.80284,0.93085,0.69054,0.79912,0.64222,0.58275,0.50847,0.82242,0.0002212,0.0002212,0.0002212
