epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1483,0.92314,1.79992,0.96489,0.68933,0.51507,0.52729,0.40142,0.83417,0.80838,0.85803,0.000330128,0.000330128,0.000330128
2,50.4853,0.83606,0.76391,0.92329,0.66712,0.44601,0.49456,0.37059,0.82463,1.14257,0.86004,0.000656893,0.000656893,0.000656893
3,71.5389,0.84916,0.71823,0.9327,0.78667,0.52052,0.60973,0.44586,0.80117,0.74383,0.85661,0.000977058,0.000977058,0.000977058
4,93.1433,0.83618,0.66831,0.92501,0.76721,0.58567,0.62323,0.4515,0.80298,0.71188,0.86533,0.0009703,0.0009703,0.0009703
5,116.117,0.8067,0.60876,0.92269,0.84534,0.53204,0.63257,0.46696,0.81156,0.63177,0.86436,0.0009604,0.0009604,0.0009604
6,137.478,0.78309,0.5919,0.91002,0.84242,0.58331,0.65941,0.48797,0.75252,0.60155,0.85678,0.0009505,0.0009505,0.0009505
7,158.829,0.76127,0.56072,0.90237,0.86169,0.55157,0.62791,0.46983,0.73777,0.62343,0.84512,0.0009406,0.0009406,0.0009406
8,179.616,0.75591,0.54715,0.90102,0.8569,0.54132,0.6621,0.49474,0.7059,0.58704,0.83685,0.0009307,0.0009307,0.0009307
9,201.254,0.73324,0.51961,0.89299,0.87787,0.59243,0.66117,0.48911,0.73489,0.57589,0.84297,0.0009208,0.0009208,0.0009208
10,223.882,0.72056,0.50888,0.89086,0.7948,0.5879,0.6604,0.51051,0.72342,0.57285,0.83424,0.0009109,0.0009109,0.0009109
11,254.474,0.72531,0.50357,0.88894,0.7879,0.64581,0.69847,0.52545,0.68095,0.5631,0.83394,0.000901,0.000901,0.000901
12,278.558,0.70803,0.49729,0.88852,0.7984,0.58989,0.66171,0.50519,0.72702,0.5669,0.854,0.0008911,0.0008911,0.0008911
13,301.949,0.70006,0.48071,0.88455,0.84397,0.62112,0.67918,0.52709,0.66958,0.52442,0.8322,0.0008812,0.0008812,0.0008812
14,325.17,0.68293,0.47267,0.8756,0.81674,0.58686,0.67514,0.51312,0.67444,0.52724,0.83563,0.0008713,0.0008713,0.0008713
15,347.377,0.68844,0.46205,0.87843,0.88216,0.58982,0.68554,0.53114,0.66399,0.5056,0.82558,0.0008614,0.0008614,0.0008614
16,369.109,0.65828,0.44957,0.86882,0.8855,0.60515,0.69203,0.53541,0.66902,0.52092,0.82527,0.0008515,0.0008515,0.0008515
17,390.808,0.66227,0.44992,0.87049,0.85072,0.63169,0.69767,0.54045,0.66168,0.5136,0.82706,0.0008416,0.0008416,0.0008416
18,412.772,0.65049,0.43344,0.86303,0.79719,0.61754,0.69825,0.54145,0.66929,0.51621,0.83129,0.0008317,0.0008317,0.0008317
19,439.408,0.64352,0.42546,0.86876,0.88758,0.57862,0.67602,0.52473,0.6554,0.51038,0.82576,0.0008218,0.0008218,0.0008218
20,463.732,0.64844,0.4277,0.86137,0.91228,0.6001,0.69277,0.54252,0.64702,0.51802,0.82501,0.0008119,0.0008119,0.0008119
21,486.085,0.63644,0.4278,0.86624,0.90397,0.60552,0.69937,0.55115,0.63916,0.47663,0.82747,0.000802,0.000802,0.000802
22,507.662,0.62265,0.4135,0.86396,0.8982,0.59255,0.69118,0.53583,0.63823,0.49826,0.82447,0.0007921,0.0007921,0.0007921
23,529.623,0.62522,0.41117,0.85936,0.89683,0.63941,0.71294,0.54941,0.67583,0.48427,0.8338,0.0007822,0.0007822,0.0007822
24,551.681,0.61137,0.40419,0.85645,0.91292,0.60114,0.69001,0.53026,0.65526,0.48811,0.83249,0.0007723,0.0007723,0.0007723
25,573.076,0.61548,0.40384,0.85753,0.8423,0.60581,0.68753,0.53815,0.65371,0.48374,0.82841,0.0007624,0.0007624,0.0007624
26,594.569,0.60262,0.39723,0.85177,0.86661,0.61285,0.69493,0.52665,0.64939,0.47915,0.82412,0.0007525,0.0007525,0.0007525
