epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.374,1.69394,4.05902,1.4984,0.00132,0.05564,0.00077,0.00032,nan,nan,nan,0.0703797,0.00329114,0.00329114
2,319.784,1.84052,3.13536,1.57856,0.00132,0.05564,0.00077,0.00032,nan,nan,nan,0.0401174,0.00636214,0.00636214
3,476.324,1.76435,2.8388,1.5309,0.18389,0.13265,0.08626,0.05838,2.89251,5.08505,2.5874,0.00959109,0.00916915,0.00916915
4,561.611,1.63289,2.49444,1.47062,0.38205,0.19166,0.15083,0.10441,2.57558,6.62542,1.95546,0.008812,0.008812,0.008812
5,696.912,1.50451,2.19455,1.38436,0.50123,0.19585,0.1769,0.13066,2.52529,5.72902,1.91854,0.008416,0.008416,0.008416
6,857.759,1.39635,1.87035,1.32296,0.60145,0.21295,0.20815,0.14777,2.49957,4.02411,1.7798,0.00802,0.00802,0.00802
7,961.583,1.2958,1.67482,1.25872,0.58972,0.22689,0.22005,0.17174,2.38278,3.31901,1.76293,0.007624,0.007624,0.007624
8,1117.82,1.25757,1.60043,1.24278,0.62284,0.22335,0.23657,0.18912,2.34761,3.97233,1.69112,0.007228,0.007228,0.007228
9,1252.91,1.24436,1.56627,1.23942,0.64428,0.22436,0.23093,0.18449,2.36455,3.43285,1.68801,0.006832,0.006832,0.006832
10,1396.8,1.16172,1.47114,1.18696,0.45449,0.27082,0.24624,0.20047,2.27335,3.75069,1.74195,0.006436,0.006436,0.006436
11,1546.71,1.12803,1.39369,1.1497,0.69581,0.23009,0.24276,0.19464,2.24841,3.00751,1.58572,0.00604,0.00604,0.00604
12,1696.48,1.08614,1.34143,1.14451,0.74612,0.23992,0.27025,0.22139,2.26169,3.00878,1.50086,0.005644,0.005644,0.005644
13,1851.51,1.08378,1.28602,1.14093,0.64024,0.29448,0.3066,0.2433,2.26307,2.89093,1.48203,0.005248,0.005248,0.005248
14,1993.96,1.05488,1.25576,1.11576,0.63044,0.26675,0.27684,0.22655,2.2122,3.06103,1.49489,0.004852,0.004852,0.004852
15,2149.04,1.03859,1.24757,1.11991,0.5921,0.30031,0.29125,0.23343,2.20196,2.95996,1.54733,0.004456,0.004456,0.004456
