epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.973,0.96212,2.79187,1.06982,0.69117,0.22925,0.23871,0.20005,2.38347,2.99678,1.63786,0.000329114,0.000329114,0.000329114
2,281.407,1.0039,1.41378,1.06447,0.79056,0.18008,0.20384,0.1522,2.59644,3.11176,1.65417,0.000649331,0.000649331,0.000649331
3,426.344,1.01193,1.34954,1.0678,0.63458,0.18581,0.20314,0.15504,2.35807,2.85514,1.62204,0.000956348,0.000956348,0.000956348
4,523.601,0.98748,1.23697,1.05079,0.70927,0.24577,0.25228,0.20736,2.28154,3.21384,1.4936,0.0009406,0.0009406,0.0009406
5,673.702,0.97668,1.22594,1.03681,0.65283,0.27801,0.2745,0.2167,2.24462,2.63316,1.49934,0.0009208,0.0009208,0.0009208
6,831.243,0.94267,1.09082,1.01945,0.59964,0.29403,0.28951,0.23391,2.29172,3.03767,1.56669,0.000901,0.000901,0.000901
7,1026.34,0.93968,1.08036,1.02038,0.72987,0.29632,0.32422,0.25535,2.18471,2.54401,1.45428,0.0008812,0.0008812,0.0008812
8,1177.3,0.90526,1.06693,1.01875,0.73165,0.27685,0.2971,0.22432,2.22417,2.70961,1.59011,0.0008614,0.0008614,0.0008614
9,1343.07,0.92522,1.06544,1.02344,0.86745,0.29376,0.3204,0.25784,2.25648,2.43752,1.40553,0.0008416,0.0008416,0.0008416
10,1524.14,0.91843,1.03179,1.01937,0.82895,0.29733,0.32308,0.27015,2.09763,2.59674,1.51955,0.0008218,0.0008218,0.0008218
11,1792.49,0.89137,0.99178,1.00216,0.84016,0.29683,0.32504,0.26839,2.05054,2.63692,1.38955,0.000802,0.000802,0.000802
12,1982.29,0.875,0.9822,1.00225,0.75021,0.31704,0.3458,0.27569,2.06761,2.41446,1.45553,0.0007822,0.0007822,0.0007822
13,2099.41,0.87592,0.94963,0.99676,0.82928,0.28773,0.31903,0.2666,1.98852,2.60916,1.41051,0.0007624,0.0007624,0.0007624
14,2215.75,0.86344,0.9453,0.98659,0.71827,0.30207,0.31038,0.25979,2.18476,2.96104,1.52744,0.0007426,0.0007426,0.0007426
15,2320.74,0.8647,0.95256,0.99501,0.84678,0.33342,0.35122,0.29814,2.02631,2.41375,1.41708,0.0007228,0.0007228,0.0007228
16,2471.26,0.82398,0.87599,0.97846,0.63853,0.32959,0.32939,0.27169,2.0592,2.51583,1.39427,0.000703,0.000703,0.000703
17,2615,0.83291,0.89051,0.9805,0.85122,0.30621,0.33481,0.27774,1.99033,2.4013,1.37907,0.0006832,0.0006832,0.0006832
18,2764.84,0.84176,0.89895,0.99488,0.77097,0.31593,0.33205,0.27311,2.07724,2.39136,1.38164,0.0006634,0.0006634,0.0006634
19,2976.24,0.80886,0.86105,0.97349,0.77125,0.31383,0.33348,0.27215,2.03746,2.44443,1.33973,0.0006436,0.0006436,0.0006436
20,3164.83,0.7882,0.82368,0.9654,0.66458,0.34119,0.34277,0.28399,1.99043,2.36208,1.41872,0.0006238,0.0006238,0.0006238
21,3365.93,0.81907,0.86529,0.97953,0.79752,0.31357,0.34432,0.28563,2.00033,2.39181,1.42443,0.000604,0.000604,0.000604
22,3523.38,0.82181,0.8542,0.97513,0.88718,0.30659,0.34188,0.2841,1.94048,2.38322,1.35732,0.0005842,0.0005842,0.0005842
23,3626.57,0.80249,0.81155,0.96809,0.84155,0.31138,0.34345,0.28461,2.02148,2.44844,1.44403,0.0005644,0.0005644,0.0005644
24,3773.09,0.79485,0.8051,0.97411,0.85391,0.30763,0.35192,0.29139,1.93733,2.3957,1.36322,0.0005446,0.0005446,0.0005446
25,3905.86,0.79028,0.8266,0.97025,0.83062,0.32136,0.34953,0.28332,1.98368,2.40313,1.3982,0.0005248,0.0005248,0.0005248
26,4021.3,0.77104,0.78803,0.96623,0.80587,0.31941,0.33555,0.278,1.98041,2.36235,1.45193,0.000505,0.000505,0.000505
27,4172.5,0.76855,0.80317,0.96647,0.83973,0.31142,0.33756,0.28079,1.98361,2.4139,1.42878,0.0004852,0.0004852,0.0004852
28,4324.26,0.7767,0.78864,0.96474,0.7652,0.31616,0.33936,0.28135,2.00586,2.44536,1.43328,0.0004654,0.0004654,0.0004654
29,4464.39,0.7703,0.78659,0.96491,0.86658,0.32046,0.34471,0.2881,1.97815,2.36255,1.39357,0.0004456,0.0004456,0.0004456
30,4590.97,0.75659,0.76546,0.95907,0.86485,0.31665,0.35145,0.28903,1.94943,2.30417,1.34421,0.0004258,0.0004258,0.0004258
31,4726.46,0.76236,0.77808,0.96222,0.80958,0.32198,0.34538,0.29056,1.95521,2.29397,1.37884,0.000406,0.000406,0.000406
32,4815.12,0.73989,0.7351,0.95314,0.89524,0.33914,0.37018,0.31155,1.97585,2.34356,1.39077,0.0003862,0.0003862,0.0003862
33,4938.3,0.75701,0.76998,0.96066,0.82566,0.31816,0.34972,0.28869,2.02182,2.39598,1.46872,0.0003664,0.0003664,0.0003664
34,5069.56,0.71892,0.70705,0.95059,0.84845,0.30871,0.35497,0.2932,1.98364,2.4184,1.40221,0.0003466,0.0003466,0.0003466
35,5269.75,0.73061,0.71261,0.95182,0.72818,0.32892,0.347,0.28904,1.9325,2.32825,1.35849,0.0003268,0.0003268,0.0003268
36,5412.2,0.7255,0.71947,0.95185,0.83859,0.34127,0.37237,0.30667,1.9511,2.36982,1.39056,0.000307,0.000307,0.000307
37,5526.38,0.71312,0.69669,0.94472,0.8827,0.33911,0.36796,0.30974,1.95254,2.37135,1.41788,0.0002872,0.0002872,0.0002872
38,5616.7,0.70971,0.69483,0.9378,0.73623,0.34837,0.35511,0.29756,1.90592,2.32895,1.37479,0.0002674,0.0002674,0.0002674
39,5767.52,0.70626,0.70238,0.94435,0.86421,0.33303,0.37023,0.30313,1.93182,2.40399,1.39057,0.0002476,0.0002476,0.0002476
40,5866,0.70561,0.69192,0.94262,0.88387,0.31765,0.35571,0.29747,1.96418,2.32577,1.38738,0.0002278,0.0002278,0.0002278
41,6094.49,0.71589,0.71441,0.94492,0.78332,0.32653,0.35258,0.29462,2.02205,2.34046,1.4292,0.000208,0.000208,0.000208
42,6240.7,0.70822,0.69658,0.94749,0.82972,0.341,0.36143,0.30354,1.94959,2.34455,1.37031,0.0001882,0.0001882,0.0001882
43,6346.57,0.69974,0.68945,0.94443,0.82603,0.3395,0.36151,0.30172,1.96426,2.45507,1.3897,0.0001684,0.0001684,0.0001684
44,6493.19,0.69251,0.67762,0.9457,0.85134,0.3394,0.36383,0.30931,1.98151,2.35852,1.42355,0.0001486,0.0001486,0.0001486
45,6594.08,0.68053,0.65512,0.93032,0.88913,0.3311,0.35999,0.30401,1.99841,2.39366,1.43351,0.0001288,0.0001288,0.0001288
46,6746.31,0.67731,0.65323,0.93749,0.88152,0.33251,0.36641,0.30854,1.94726,2.37194,1.39586,0.000109,0.000109,0.000109
47,6921.93,0.67637,0.64633,0.93831,0.9086,0.30876,0.35959,0.30089,2.01445,2.36562,1.4292,8.92e-05,8.92e-05,8.92e-05
48,7091.24,0.67136,0.63635,0.93368,0.85796,0.31774,0.35318,0.29892,2.0126,2.37539,1.42421,6.94e-05,6.94e-05,6.94e-05
49,7216.59,0.66039,0.61694,0.92927,0.85509,0.33809,0.35872,0.30735,2.01987,2.39765,1.42502,4.96e-05,4.96e-05,4.96e-05
50,7370.04,0.64775,0.605,0.92748,0.84092,0.34532,0.35929,0.3058,2.00664,2.40707,1.4121,2.98e-05,2.98e-05,2.98e-05
