epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9023,0.70741,1.75034,0.90486,0.8551,0.49695,0.57277,0.45169,0.74018,0.81718,0.87061,0.000331579,0.000331579,0.000331579
2,76.0446,0.68159,0.71626,0.88962,0.83487,0.55862,0.66379,0.52495,0.71952,0.70961,0.85137,0.000651747,0.000651747,0.000651747
3,114.1,0.68681,0.66027,0.88918,0.76973,0.62088,0.66122,0.50482,0.76145,0.70704,0.86954,0.000958715,0.000958715,0.000958715
4,150.976,0.67915,0.61482,0.88288,0.83174,0.57147,0.64885,0.49813,0.734,0.73364,0.86164,0.0009406,0.0009406,0.0009406
5,187.727,0.65683,0.57089,0.8781,0.83325,0.59077,0.69382,0.54028,0.6901,0.57738,0.85063,0.0009208,0.0009208,0.0009208
6,224.955,0.6499,0.55375,0.87671,0.90022,0.60838,0.72309,0.55134,0.69827,0.58808,0.85282,0.000901,0.000901,0.000901
7,262.154,0.61784,0.51449,0.86493,0.86367,0.62908,0.72136,0.56498,0.66141,0.55467,0.84455,0.0008812,0.0008812,0.0008812
8,299.122,0.61481,0.49118,0.86588,0.88532,0.66563,0.73395,0.56248,0.66735,0.55732,0.84935,0.0008614,0.0008614,0.0008614
9,335.883,0.59054,0.46589,0.85634,0.90986,0.59561,0.71466,0.56492,0.65949,0.54257,0.83923,0.0008416,0.0008416,0.0008416
10,372.798,0.5853,0.45257,0.85879,0.88525,0.62972,0.72004,0.56681,0.656,0.53903,0.84702,0.0008218,0.0008218,0.0008218
11,410.289,0.57367,0.43461,0.85192,0.82339,0.63156,0.7019,0.54908,0.65544,0.61384,0.83842,0.000802,0.000802,0.000802
12,447.701,0.56823,0.42652,0.84791,0.8481,0.67941,0.74074,0.57662,0.65763,0.54069,0.83981,0.0007822,0.0007822,0.0007822
13,484.956,0.55834,0.41878,0.8474,0.84843,0.66913,0.74729,0.58069,0.62275,0.50402,0.8216,0.0007624,0.0007624,0.0007624
14,523.004,0.55416,0.40553,0.84814,0.81413,0.6699,0.73395,0.58639,0.64409,0.51026,0.83551,0.0007426,0.0007426,0.0007426
15,560.817,0.53923,0.39296,0.84027,0.85099,0.63116,0.73376,0.58415,0.63179,0.5186,0.83116,0.0007228,0.0007228,0.0007228
16,598.206,0.53135,0.37955,0.84025,0.86479,0.64489,0.75222,0.59527,0.6357,0.51578,0.83776,0.000703,0.000703,0.000703
17,635.969,0.52445,0.37349,0.83971,0.89142,0.69352,0.76437,0.5934,0.63133,0.50265,0.83296,0.0006832,0.0006832,0.0006832
18,672.642,0.51697,0.36688,0.83422,0.85804,0.70533,0.76877,0.6051,0.63026,0.51917,0.82798,0.0006634,0.0006634,0.0006634
19,710.202,0.52131,0.36358,0.83534,0.86564,0.66833,0.77417,0.61834,0.6101,0.49657,0.82242,0.0006436,0.0006436,0.0006436
20,747.848,0.50883,0.35594,0.8328,0.78987,0.70314,0.75269,0.5898,0.61128,0.49927,0.8253,0.0006238,0.0006238,0.0006238
21,784.946,0.49794,0.34959,0.82971,0.84508,0.65503,0.75007,0.59361,0.62139,0.49378,0.82541,0.000604,0.000604,0.000604
22,822.003,0.50243,0.34554,0.83231,0.79769,0.70081,0.76024,0.60763,0.61645,0.50181,0.83276,0.0005842,0.0005842,0.0005842
23,859.408,0.47963,0.33442,0.82656,0.84351,0.75143,0.7882,0.61493,0.61444,0.5176,0.8257,0.0005644,0.0005644,0.0005644
24,896.744,0.47807,0.32804,0.82536,0.89583,0.69675,0.79181,0.6219,0.60873,0.50113,0.82864,0.0005446,0.0005446,0.0005446
25,934.195,0.47683,0.33052,0.8222,0.93463,0.70244,0.80234,0.63894,0.60909,0.50153,0.82448,0.0005248,0.0005248,0.0005248
26,971.499,0.47302,0.32524,0.82627,0.85166,0.72406,0.7953,0.62733,0.62116,0.51114,0.82688,0.000505,0.000505,0.000505
27,1009.64,0.46882,0.32027,0.82525,0.86996,0.6878,0.77717,0.62165,0.59946,0.46062,0.81825,0.0004852,0.0004852,0.0004852
28,1046.63,0.46425,0.31598,0.82173,0.83638,0.7246,0.7799,0.62715,0.59888,0.49023,0.82232,0.0004654,0.0004654,0.0004654
29,1084.6,0.45495,0.30386,0.82198,0.83666,0.71772,0.8045,0.64527,0.60115,0.48881,0.82173,0.0004456,0.0004456,0.0004456
30,1122.05,0.4496,0.30358,0.82076,0.89899,0.72012,0.80019,0.64071,0.59605,0.45972,0.82132,0.0004258,0.0004258,0.0004258
31,1159.08,0.44748,0.30219,0.81839,0.87973,0.71029,0.79365,0.62723,0.59953,0.51408,0.82358,0.000406,0.000406,0.000406
32,1196.7,0.43953,0.29336,0.81597,0.86771,0.72372,0.79633,0.63638,0.58857,0.48121,0.81745,0.0003862,0.0003862,0.0003862
33,1233.91,0.44041,0.2883,0.81651,0.83596,0.72478,0.78644,0.63315,0.58788,0.48074,0.82389,0.0003664,0.0003664,0.0003664
34,1270.85,0.42524,0.28058,0.81437,0.79376,0.73938,0.78352,0.62658,0.5894,0.47197,0.82059,0.0003466,0.0003466,0.0003466
35,1307.71,0.42416,0.28258,0.81511,0.80075,0.7238,0.77634,0.62751,0.58227,0.49868,0.81817,0.0003268,0.0003268,0.0003268
36,1344.56,0.4146,0.27648,0.81213,0.80025,0.73071,0.77823,0.63063,0.59945,0.4772,0.82337,0.000307,0.000307,0.000307
37,1381.47,0.41463,0.27502,0.81014,0.90283,0.65122,0.78232,0.63362,0.5788,0.47258,0.81719,0.0002872,0.0002872,0.0002872
38,1418.34,0.40501,0.26496,0.80981,0.86967,0.70913,0.78206,0.63973,0.57879,0.53167,0.8182,0.0002674,0.0002674,0.0002674
39,1455.76,0.39995,0.26448,0.8103,0.91597,0.67989,0.783,0.63363,0.57948,0.53184,0.81487,0.0002476,0.0002476,0.0002476
40,1492.68,0.39959,0.2636,0.81035,0.81778,0.75772,0.78879,0.64192,0.58449,0.48778,0.82105,0.0002278,0.0002278,0.0002278
41,1572.48,0.38066,0.24451,0.79137,0.80985,0.71181,0.79168,0.63898,0.57851,0.4729,0.81567,0.000208,0.000208,0.000208
42,1609.61,0.37191,0.23949,0.79194,0.82531,0.73346,0.78768,0.64152,0.58541,0.49312,0.82182,0.0001882,0.0001882,0.0001882
43,1647.01,0.36644,0.23438,0.78463,0.84964,0.73561,0.79925,0.64235,0.57672,0.49308,0.8242,0.0001684,0.0001684,0.0001684
44,1683.94,0.356,0.22778,0.78516,0.90289,0.65247,0.77481,0.62066,0.58747,0.51569,0.82052,0.0001486,0.0001486,0.0001486
45,1720.99,0.35299,0.22474,0.78425,0.92388,0.65363,0.77482,0.62697,0.58418,0.49242,0.82272,0.0001288,0.0001288,0.0001288
46,1757.97,0.34187,0.21854,0.78476,0.78951,0.7314,0.79396,0.64023,0.57706,0.49455,0.81988,0.000109,0.000109,0.000109
47,1795.06,0.3362,0.21492,0.78224,0.83602,0.67984,0.78742,0.63921,0.57441,0.47528,0.81745,8.92e-05,8.92e-05,8.92e-05
48,1831.98,0.33015,0.2112,0.78126,0.78517,0.73414,0.78323,0.63888,0.57973,0.49441,0.82091,6.94e-05,6.94e-05,6.94e-05
49,1868.94,0.33128,0.20991,0.78015,0.8308,0.73824,0.79068,0.63724,0.57758,0.48191,0.82068,4.96e-05,4.96e-05,4.96e-05
50,1906.4,0.32182,0.20599,0.78145,0.84919,0.70274,0.7809,0.63414,0.57412,0.48574,0.82034,2.98e-05,2.98e-05,2.98e-05
