epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6351,0.9702,2.57166,1.07151,0.61716,0.21093,0.20826,0.16891,2.22837,2.96365,1.69219,0.000330808,0.000330808,0.000330808
2,49.5515,0.98411,1.39841,1.05538,0.49876,0.24915,0.22759,0.18415,2.22758,3.163,1.73616,0.000650991,0.000650991,0.000650991
3,74.7569,0.99937,1.317,1.0602,0.54663,0.23524,0.24889,0.20203,2.31157,2.82741,1.63991,0.000957975,0.000957975,0.000957975
4,100.283,1.0275,1.28243,1.0718,0.7459,0.23844,0.27602,0.21748,2.258,3.12515,1.6507,0.0009406,0.0009406,0.0009406
5,124.817,0.99223,1.21277,1.05826,0.49837,0.28675,0.29024,0.23755,2.11604,2.70339,1.4816,0.0009208,0.0009208,0.0009208
6,149.668,0.95385,1.15039,1.03891,0.73831,0.29352,0.32058,0.25667,2.24417,2.73682,1.45139,0.000901,0.000901,0.000901
7,173.848,0.9525,1.11633,1.02715,0.64534,0.29607,0.29902,0.24784,2.20473,2.90381,1.46952,0.0008812,0.0008812,0.0008812
8,198.031,0.93079,1.07955,1.01879,0.81653,0.30546,0.32208,0.25851,2.18508,2.83187,1.49635,0.0008614,0.0008614,0.0008614
9,222.633,0.94585,1.08958,1.02878,0.74799,0.30987,0.33722,0.26116,2.06581,2.65578,1.4302,0.0008416,0.0008416,0.0008416
10,247.965,0.92011,1.05389,1.02247,0.76696,0.27999,0.30247,0.24643,2.17744,2.44847,1.42269,0.0008218,0.0008218,0.0008218
11,272.041,0.9162,1.04012,1.012,0.85316,0.31694,0.34809,0.28384,2.11032,2.458,1.52326,0.000802,0.000802,0.000802
12,296.188,0.88709,0.98922,1.00423,0.83558,0.29217,0.32243,0.25857,2.13261,2.41375,1.48509,0.0007822,0.0007822,0.0007822
13,321.579,0.86546,0.95553,0.99427,0.76844,0.28378,0.31121,0.2616,2.15128,3.12807,1.4335,0.0007624,0.0007624,0.0007624
14,345.515,0.8927,0.97415,0.99552,0.76066,0.33178,0.34917,0.28111,2.03482,2.3622,1.37723,0.0007426,0.0007426,0.0007426
15,369.265,0.865,0.92418,0.99799,0.74014,0.33031,0.34323,0.27372,2.01938,2.41757,1.38838,0.0007228,0.0007228,0.0007228
16,393.32,0.86349,0.93363,0.98467,0.70841,0.32138,0.3445,0.27326,2.06968,2.28408,1.45964,0.000703,0.000703,0.000703
