epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0101,0.75916,1.83514,0.89909,0.76504,0.44196,0.49523,0.38706,0.83195,0.87244,0.85242,0.000328829,0.000328829,0.000328829
2,33.4043,0.70173,0.70279,0.87938,0.76152,0.48688,0.56004,0.4245,0.78676,0.80885,0.85025,0.000655607,0.000655607,0.000655607
3,49.343,0.68913,0.62395,0.8694,0.56494,0.42367,0.42628,0.32015,0.80831,5.00053,0.86639,0.000975785,0.000975785,0.000975785
4,64.963,0.70736,0.59642,0.87327,0.66816,0.56371,0.57478,0.42385,0.80071,0.77425,0.85224,0.0009703,0.0009703,0.0009703
5,80.5977,0.67667,0.55206,0.86714,0.80077,0.52228,0.60111,0.44394,0.76314,0.63139,0.84804,0.0009604,0.0009604,0.0009604
6,96.5514,0.66738,0.53237,0.86471,0.81785,0.55629,0.61326,0.46093,0.73221,0.6306,0.84303,0.0009505,0.0009505,0.0009505
7,112.391,0.64768,0.50611,0.85412,0.81285,0.5452,0.62034,0.46875,0.69702,0.59206,0.83789,0.0009406,0.0009406,0.0009406
8,128.65,0.6369,0.49651,0.8572,0.86322,0.56706,0.62711,0.47968,0.76029,0.67764,0.85349,0.0009307,0.0009307,0.0009307
9,144.993,0.61646,0.4761,0.84859,0.77443,0.55314,0.62252,0.47436,0.73522,0.60669,0.84375,0.0009208,0.0009208,0.0009208
10,161.019,0.60924,0.46357,0.84981,0.82156,0.54072,0.60943,0.46206,0.70174,0.5831,0.83487,0.0009109,0.0009109,0.0009109
11,177.335,0.6048,0.45128,0.84445,0.8177,0.58586,0.63529,0.48134,0.68027,0.55221,0.83637,0.000901,0.000901,0.000901
12,194.072,0.59685,0.43968,0.84399,0.75407,0.6004,0.64434,0.47515,0.71446,0.53707,0.84277,0.0008911,0.0008911,0.0008911
13,209.799,0.58898,0.43049,0.84086,0.87085,0.57747,0.65285,0.49629,0.67274,0.52169,0.83834,0.0008812,0.0008812,0.0008812
14,225.399,0.57653,0.42303,0.83979,0.78168,0.62433,0.66598,0.51805,0.65506,0.52458,0.82912,0.0008713,0.0008713,0.0008713
15,241.515,0.5682,0.41293,0.83758,0.8273,0.58676,0.65227,0.48947,0.70902,0.57488,0.84597,0.0008614,0.0008614,0.0008614
16,257.146,0.56449,0.40834,0.83722,0.8346,0.60502,0.65492,0.51377,0.67704,0.52241,0.83426,0.0008515,0.0008515,0.0008515
17,273.044,0.55865,0.40617,0.83786,0.84859,0.60966,0.68064,0.52662,0.68219,0.52438,0.83635,0.0008416,0.0008416,0.0008416
18,289.256,0.5526,0.39572,0.83337,0.86252,0.59403,0.67101,0.5255,0.63868,0.52704,0.82825,0.0008317,0.0008317,0.0008317
19,306.336,0.55007,0.39452,0.83109,0.789,0.63327,0.66809,0.52135,0.65258,0.52359,0.83117,0.0008218,0.0008218,0.0008218
20,321.897,0.54608,0.38448,0.83037,0.79814,0.62603,0.6658,0.51257,0.68406,0.50588,0.83433,0.0008119,0.0008119,0.0008119
21,337.543,0.53874,0.3805,0.83038,0.85526,0.61328,0.66746,0.52471,0.64164,0.49156,0.82761,0.000802,0.000802,0.000802
22,353.154,0.53309,0.37342,0.83146,0.89773,0.60356,0.67198,0.52836,0.62574,0.52221,0.82664,0.0007921,0.0007921,0.0007921
23,368.954,0.52849,0.36865,0.82696,0.78233,0.61893,0.66788,0.51947,0.65065,0.48693,0.83429,0.0007822,0.0007822,0.0007822
24,384.681,0.52364,0.3618,0.82655,0.898,0.63435,0.70079,0.55233,0.63069,0.50728,0.82371,0.0007723,0.0007723,0.0007723
25,401.021,0.51739,0.35635,0.82446,0.7551,0.62294,0.67293,0.5294,0.6356,0.4975,0.82579,0.0007624,0.0007624,0.0007624
26,417.305,0.52084,0.35301,0.82265,0.91169,0.62231,0.70355,0.55951,0.62831,0.45313,0.8237,0.0007525,0.0007525,0.0007525
27,433.392,0.50929,0.34664,0.82503,0.84965,0.63376,0.69354,0.5356,0.64948,0.5303,0.83086,0.0007426,0.0007426,0.0007426
28,449.002,0.5092,0.3424,0.822,0.74473,0.66576,0.69682,0.54542,0.65057,0.52667,0.82792,0.0007327,0.0007327,0.0007327
29,464.776,0.49981,0.34797,0.82037,0.82755,0.62127,0.67448,0.52556,0.62523,0.48108,0.82597,0.0007228,0.0007228,0.0007228
30,480.183,0.49737,0.33818,0.82193,0.87503,0.58472,0.68293,0.54683,0.63746,0.5219,0.82431,0.0007129,0.0007129,0.0007129
31,495.817,0.50052,0.33804,0.82177,0.84308,0.61379,0.69293,0.54843,0.64916,0.53461,0.83175,0.000703,0.000703,0.000703
