epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4417,0.9718,2.5606,1.06564,0.75618,0.23028,0.25915,0.21303,2.55553,3.17464,1.91806,0.000328947,0.000328947,0.000328947
2,33.3478,0.94783,1.25117,1.02192,0.37906,0.19742,0.13741,0.10892,2.40085,22.3212,2.59104,0.000649168,0.000649168,0.000649168
3,47.9559,0.98802,1.20889,1.03763,0.68872,0.24275,0.25131,0.19554,2.26898,2.81697,1.77088,0.000956188,0.000956188,0.000956188
4,62.6795,0.97156,1.13545,1.02412,0.69656,0.16493,0.17119,0.13744,2.55282,3.23283,1.54521,0.0009406,0.0009406,0.0009406
5,78.5821,0.96372,1.11608,1.01466,0.69101,0.24913,0.27672,0.21897,2.35438,2.59335,1.50278,0.0009208,0.0009208,0.0009208
6,95.5042,0.92553,1.01798,1.0058,0.57749,0.29443,0.29367,0.23219,2.30309,3.42022,1.51374,0.000901,0.000901,0.000901
7,112.45,0.92794,1.0144,1.00528,0.81814,0.27554,0.30889,0.24422,2.28492,2.91885,1.4129,0.0008812,0.0008812,0.0008812
8,129.132,0.93164,1.01818,1.00271,0.76027,0.29924,0.30274,0.24217,2.21541,2.86774,1.47749,0.0008614,0.0008614,0.0008614
9,145.367,0.89559,0.95993,0.98584,0.74819,0.27846,0.29548,0.23993,2.28751,3.03983,1.53637,0.0008416,0.0008416,0.0008416
10,161.39,0.85007,0.88688,0.96845,0.81589,0.31435,0.3363,0.26966,2.16357,2.74766,1.3725,0.0008218,0.0008218,0.0008218
11,179.011,0.88983,0.92706,0.98866,0.85252,0.28915,0.31294,0.25464,2.1964,2.86417,1.54567,0.000802,0.000802,0.000802
12,195.519,0.84576,0.86384,0.9694,0.80243,0.31201,0.3339,0.26686,2.10106,2.59764,1.37251,0.0007822,0.0007822,0.0007822
13,211.92,0.84607,0.9051,0.97935,0.73617,0.30204,0.31676,0.25143,2.2184,3.33774,1.51043,0.0007624,0.0007624,0.0007624
14,228.315,0.82816,0.85382,0.96249,0.78961,0.30388,0.33687,0.25591,2.1183,2.73811,1.43134,0.0007426,0.0007426,0.0007426
15,244.95,0.83498,0.84736,0.97139,0.75046,0.30986,0.3287,0.26508,2.16634,2.54019,1.37021,0.0007228,0.0007228,0.0007228
