epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9507,0.71165,1.75881,0.89442,0.6665,0.49159,0.54683,0.42768,0.73383,0.84125,0.85281,0.000331429,0.000331429,0.000331429
2,67.6975,0.68924,0.72658,0.8855,0.57899,0.59659,0.60859,0.46776,0.73913,0.73601,0.85863,0.000658181,0.000658181,0.000658181
3,101.999,0.69348,0.66892,0.88875,0.78486,0.58332,0.62487,0.48704,0.74505,0.69555,0.86497,0.000978333,0.000978333,0.000978333
4,135.882,0.67478,0.61303,0.88645,0.74731,0.60984,0.66937,0.50923,0.73587,0.64244,0.86528,0.0009703,0.0009703,0.0009703
5,169.939,0.65363,0.5616,0.87667,0.79199,0.59682,0.6778,0.52266,0.69866,0.63077,0.85184,0.0009604,0.0009604,0.0009604
6,203.914,0.64569,0.54152,0.87474,0.8601,0.63462,0.69223,0.52948,0.71182,0.62075,0.84816,0.0009505,0.0009505,0.0009505
7,237.438,0.62263,0.5044,0.86798,0.82121,0.62006,0.70911,0.55318,0.67324,0.59061,0.84891,0.0009406,0.0009406,0.0009406
8,271.17,0.60938,0.49428,0.86203,0.83079,0.65527,0.74216,0.55853,0.70384,0.54796,0.84595,0.0009307,0.0009307,0.0009307
9,304.519,0.61319,0.47284,0.86345,0.87356,0.63501,0.71459,0.54756,0.692,0.53103,0.84776,0.0009208,0.0009208,0.0009208
10,337.695,0.59255,0.45482,0.8539,0.84601,0.61721,0.70612,0.564,0.64289,0.54662,0.83326,0.0009109,0.0009109,0.0009109
11,371.547,0.58242,0.44911,0.85243,0.84944,0.65657,0.76205,0.58421,0.65503,0.5538,0.84325,0.000901,0.000901,0.000901
12,405.467,0.57523,0.43756,0.8523,0.79498,0.65943,0.73188,0.56697,0.63678,0.54581,0.8314,0.0008911,0.0008911,0.0008911
13,438.788,0.56922,0.42903,0.85081,0.84509,0.64478,0.73983,0.57909,0.64609,0.51784,0.83433,0.0008812,0.0008812,0.0008812
14,472.219,0.56744,0.42585,0.84441,0.80956,0.72994,0.7664,0.60026,0.64577,0.51512,0.8368,0.0008713,0.0008713,0.0008713
15,506.928,0.5649,0.42155,0.84561,0.90243,0.62538,0.75508,0.58779,0.61695,0.54662,0.82463,0.0008614,0.0008614,0.0008614
16,540.782,0.54603,0.40236,0.84398,0.84521,0.68376,0.7677,0.60185,0.64196,0.49161,0.83841,0.0008515,0.0008515,0.0008515
17,574.889,0.54036,0.38969,0.83923,0.8421,0.7143,0.77832,0.6018,0.64002,0.47696,0.83487,0.0008416,0.0008416,0.0008416
18,610.241,0.53465,0.38321,0.83938,0.85069,0.72915,0.79523,0.61405,0.62503,0.47818,0.83032,0.0008317,0.0008317,0.0008317
19,644.099,0.52733,0.38139,0.8372,0.82395,0.72485,0.77891,0.62457,0.62756,0.48499,0.83151,0.0008218,0.0008218,0.0008218
20,677.394,0.52517,0.37944,0.83488,0.87267,0.69172,0.78831,0.62694,0.6227,0.4661,0.83154,0.0008119,0.0008119,0.0008119
21,711.182,0.51952,0.3724,0.83359,0.8601,0.66509,0.75832,0.59638,0.64806,0.49207,0.83743,0.000802,0.000802,0.000802
22,744.382,0.51103,0.37019,0.83533,0.89216,0.64591,0.75751,0.60572,0.61662,0.48719,0.82857,0.0007921,0.0007921,0.0007921
23,778.059,0.50703,0.35931,0.83105,0.8964,0.69423,0.77934,0.62881,0.61987,0.47633,0.82998,0.0007822,0.0007822,0.0007822
24,811.92,0.51129,0.36176,0.83097,0.86258,0.69834,0.76154,0.61293,0.60893,0.46514,0.83039,0.0007723,0.0007723,0.0007723
25,846.394,0.4975,0.35201,0.83227,0.85081,0.69654,0.77028,0.61458,0.61261,0.4562,0.82608,0.0007624,0.0007624,0.0007624
26,880.187,0.5014,0.35344,0.83165,0.79531,0.71304,0.77341,0.61609,0.62029,0.46205,0.83528,0.0007525,0.0007525,0.0007525
27,913.48,0.49661,0.34167,0.82822,0.91106,0.6757,0.77219,0.61768,0.61232,0.47796,0.83226,0.0007426,0.0007426,0.0007426
28,947.862,0.49139,0.33562,0.82462,0.84973,0.68596,0.77706,0.60875,0.61851,0.48119,0.84112,0.0007327,0.0007327,0.0007327
29,981.05,0.48702,0.33427,0.82466,0.9025,0.71064,0.78751,0.62848,0.61636,0.4756,0.83138,0.0007228,0.0007228,0.0007228
30,1016.3,0.47893,0.32596,0.82372,0.85339,0.69594,0.77785,0.61695,0.60999,0.47608,0.8243,0.0007129,0.0007129,0.0007129
31,1051.46,0.47823,0.32496,0.82237,0.86428,0.6772,0.78455,0.61814,0.61913,0.46876,0.83146,0.000703,0.000703,0.000703
32,1086.53,0.46934,0.325,0.8236,0.8348,0.72063,0.77915,0.62954,0.59478,0.4723,0.82845,0.0006931,0.0006931,0.0006931
33,1121.68,0.47422,0.31781,0.8209,0.88274,0.73239,0.78717,0.62115,0.60783,0.47737,0.83026,0.0006832,0.0006832,0.0006832
34,1156.87,0.46682,0.31604,0.82036,0.8675,0.72558,0.79536,0.64224,0.59747,0.46916,0.8255,0.0006733,0.0006733,0.0006733
35,1192.9,0.4647,0.31516,0.82005,0.90993,0.72799,0.7992,0.63889,0.60555,0.45723,0.83178,0.0006634,0.0006634,0.0006634
36,1228.4,0.45407,0.30948,0.82006,0.79682,0.7521,0.76749,0.61299,0.61888,0.46718,0.83368,0.0006535,0.0006535,0.0006535
37,1261.15,0.45258,0.31224,0.81927,0.88837,0.73065,0.8008,0.63042,0.60234,0.45022,0.83089,0.0006436,0.0006436,0.0006436
38,1294.37,0.45319,0.31009,0.82069,0.88451,0.70973,0.78536,0.62634,0.60292,0.45358,0.84131,0.0006337,0.0006337,0.0006337
39,1327.07,0.45209,0.30632,0.82098,0.88127,0.70182,0.77747,0.62366,0.60396,0.46783,0.82702,0.0006238,0.0006238,0.0006238
40,1360.38,0.44424,0.30098,0.8184,0.8691,0.72388,0.78256,0.63327,0.60033,0.46647,0.83201,0.0006139,0.0006139,0.0006139
41,1393.27,0.44621,0.29478,0.8186,0.88189,0.69606,0.77456,0.61815,0.59322,0.48475,0.82424,0.000604,0.000604,0.000604
42,1426.43,0.43283,0.29003,0.81394,0.9153,0.71727,0.80779,0.64764,0.59962,0.4447,0.83104,0.0005941,0.0005941,0.0005941
43,1459.88,0.43609,0.29354,0.81553,0.90911,0.7025,0.79375,0.64193,0.59787,0.44565,0.82602,0.0005842,0.0005842,0.0005842
44,1493.27,0.42651,0.28515,0.81411,0.8225,0.73252,0.78341,0.62141,0.60541,0.46336,0.82759,0.0005743,0.0005743,0.0005743
45,1526.32,0.42758,0.2893,0.81298,0.84411,0.72046,0.79604,0.64017,0.59411,0.46531,0.8249,0.0005644,0.0005644,0.0005644
46,1559.57,0.42888,0.28858,0.8152,0.87752,0.72987,0.79217,0.63582,0.60689,0.47631,0.83374,0.0005545,0.0005545,0.0005545
47,1592.4,0.42293,0.28085,0.81446,0.88993,0.71453,0.78242,0.63517,0.58799,0.48297,0.82644,0.0005446,0.0005446,0.0005446
48,1626.27,0.41649,0.28028,0.81103,0.88174,0.7247,0.79326,0.64478,0.59529,0.48288,0.83244,0.0005347,0.0005347,0.0005347
49,1659.48,0.41825,0.27768,0.81339,0.89315,0.70196,0.79898,0.64676,0.57845,0.49086,0.82407,0.0005248,0.0005248,0.0005248
50,1692.49,0.4146,0.27565,0.81199,0.9087,0.71644,0.78307,0.64241,0.59346,0.4579,0.8311,0.0005149,0.0005149,0.0005149
51,1725.7,0.40676,0.26945,0.81051,0.91264,0.72016,0.7924,0.63137,0.59555,0.46163,0.82356,0.000505,0.000505,0.000505
52,1758.44,0.40555,0.27216,0.80999,0.81346,0.71674,0.76713,0.61673,0.59272,0.47739,0.82177,0.0004951,0.0004951,0.0004951
53,1791.2,0.40155,0.26536,0.80787,0.90957,0.70786,0.80329,0.63795,0.58915,0.47276,0.82433,0.0004852,0.0004852,0.0004852
54,1824.67,0.39993,0.26828,0.80659,0.87083,0.67901,0.77271,0.62243,0.5982,0.47023,0.82984,0.0004753,0.0004753,0.0004753
55,1858.83,0.39703,0.26528,0.80799,0.85121,0.73599,0.78166,0.62122,0.58526,0.49478,0.81818,0.0004654,0.0004654,0.0004654
56,1891.63,0.39259,0.26421,0.80684,0.85213,0.71071,0.78705,0.6337,0.58831,0.46142,0.82028,0.0004555,0.0004555,0.0004555
57,1924.36,0.39068,0.25794,0.80757,0.82726,0.71205,0.78244,0.63288,0.60565,0.46664,0.83364,0.0004456,0.0004456,0.0004456
58,1957.28,0.38883,0.2568,0.80632,0.82691,0.73522,0.79185,0.63864,0.58733,0.46137,0.81984,0.0004357,0.0004357,0.0004357
