epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.036,0.93068,2.4172,1.02713,0.67659,0.22334,0.22459,0.18989,2.28871,2.88875,1.58061,0.000329114,0.000329114,0.000329114
2,60.5667,0.94874,1.27766,1.01057,0.55204,0.27231,0.25209,0.19932,2.48977,3.30473,1.95494,0.000636214,0.000636214,0.000636214
3,103.409,0.98256,1.20608,1.02537,0.69765,0.23425,0.26131,0.2095,2.32884,2.88578,1.48034,0.000916915,0.000916915,0.000916915
4,146.754,0.95489,1.12591,1.01941,0.77948,0.2197,0.24703,0.20351,2.29684,2.82451,1.41865,0.0008812,0.0008812,0.0008812
5,188.874,0.94953,1.09691,1.00469,0.65879,0.28031,0.28487,0.22776,2.32076,3.03921,1.50945,0.0008416,0.0008416,0.0008416
6,233.894,0.9002,0.98613,0.98958,0.62422,0.26302,0.28721,0.22947,2.17299,3.08153,1.44173,0.000802,0.000802,0.000802
7,277.352,0.89867,0.96679,0.98543,0.60987,0.29158,0.2803,0.22827,2.27897,3.14465,1.60928,0.0007624,0.0007624,0.0007624
8,321.342,0.86214,0.95294,0.98071,0.72171,0.28652,0.30771,0.24519,2.13333,2.653,1.40189,0.0007228,0.0007228,0.0007228
9,364.369,0.88241,0.959,0.98803,0.69838,0.2941,0.31337,0.25387,2.09805,2.42082,1.28223,0.0006832,0.0006832,0.0006832
10,412.728,0.845,0.89964,0.96085,0.73018,0.27818,0.30682,0.25068,2.13842,2.90987,1.38263,0.0006436,0.0006436,0.0006436
11,474.104,0.85676,0.88238,0.96219,0.81701,0.30498,0.31382,0.25963,2.08033,2.42334,1.32932,0.000604,0.000604,0.000604
12,495.616,0.83362,0.85878,0.96039,0.88006,0.29386,0.32755,0.25793,2.02764,2.41113,1.33986,0.0005644,0.0005644,0.0005644
13,513.679,0.81158,0.83077,0.95568,0.73406,0.2945,0.29847,0.24398,2.06598,2.3853,1.32273,0.0005248,0.0005248,0.0005248
14,531.784,0.80177,0.81269,0.94132,0.81304,0.30104,0.32064,0.2631,2.16234,2.42364,1.42503,0.0004852,0.0004852,0.0004852
15,588.013,0.80504,0.83201,0.95052,0.85253,0.29708,0.3201,0.26785,2.08374,2.39209,1.34616,0.0004456,0.0004456,0.0004456
16,704.032,0.82272,0.88613,0.95372,0.77035,0.3011,0.32715,0.26908,2.04586,2.3284,1.33123,0.000406,0.000406,0.000406
17,751.3,0.79435,0.82822,0.95201,0.81467,0.30527,0.32739,0.2771,2.02178,2.28085,1.40639,0.0003664,0.0003664,0.0003664
18,788.636,0.77912,0.79546,0.94034,0.81888,0.31403,0.32398,0.26829,2.06944,2.33161,1.33377,0.0003268,0.0003268,0.0003268
19,803.275,0.7882,0.80223,0.94322,0.78974,0.30687,0.32374,0.27281,1.99415,2.26509,1.34302,0.0002872,0.0002872,0.0002872
20,818.17,0.77071,0.79505,0.93874,0.85002,0.29278,0.32823,0.27586,2.1319,2.24573,1.40258,0.0002476,0.0002476,0.0002476
21,833.011,0.75982,0.75928,0.93356,0.83566,0.30681,0.32857,0.27692,2.04177,2.41788,1.38814,0.000208,0.000208,0.000208
22,847.695,0.75846,0.75543,0.94137,0.85826,0.30257,0.32804,0.27549,2.02467,2.31013,1.29861,0.0001684,0.0001684,0.0001684
23,889.574,0.73537,0.71892,0.93343,0.81314,0.30572,0.33021,0.2767,2.00986,2.21403,1.30514,0.0001288,0.0001288,0.0001288
24,934.67,0.71667,0.69445,0.92522,0.84722,0.3046,0.32697,0.27263,1.99238,2.28493,1.32995,8.92e-05,8.92e-05,8.92e-05
25,978.854,0.7117,0.67654,0.91901,0.81437,0.30543,0.32873,0.27444,2.00689,2.24524,1.31667,4.96e-05,4.96e-05,4.96e-05
